275,17,4665,eMule,eMule
276,17,4672,eMule,eMule
277,6,4675,eMule,eMule
278,6,7561,eMule,eMule
279,17,7571,eMule,eMule
280,6,28221,eMule,eMule
281,6,502,Enron Modbus,Enron Modbus
282,6,802,Enron Modbus,Enron Modbus
283,6,8193,Focas,Focas
284,6,1090,Foundation Fieldbus,Foundation Fieldbus
285,6,9001,Foxboro I/A,Foxboro I/A
286,17,9001,Foxboro I/A,Foxboro I/A
287,17,18246,EGD,Ethernet Global Data
288,17,7937,EGD,Ethernet Global Data
289,17,7927,EGD,Ethernet Global Data
290,17,53014,iFix2iFix,iFix2iFix
291,6,2010,iFix2iFix,iFix2iFix
292,6,18245,SRTP,Service Request Transport Protocol
293,6,18246,SRTP,Service Request Transport Protocol
294,6,3956,GVCP,GigE Vision Control
295,17,3956,GVCP,GigE Vision Control
296,6,446,DRDA,Distributed Relational Database Architecture
297,6,447,DRDA,Distributed Relational Database Architecture
298,6,448,DRDA,Distributed Relational Database Architecture
299,6,993,ZMTP,ZeroMQ Message Transport Protocol
300,6,993,ZMTP,ZeroMQ Message Transport Protocol
301,17,67,DHCP,Dynamic Host Configuration Protocol
302,17,68,DHCP,Dynamic Host Configuration Protocol
303,17,546,DHCPv6,Dynamic Host Configuration Protocol
304,17,547,DHCPv6,Dynamic Host Configuration Protocol
305,17,53,DNS,Domain Name System
306,6,53,DNS,Domain Name System
307,17,21,FTP,File Transfer Protocol
308,6,21,FTPS,File Transfer Protocol
309,6,80,HTTP,Hypertext Transfer Protocol
310,6,443,HTTPS,Hypertext Transfer Protocol Secure
311,17,500,IKE,Internet Key Exchange
312,17,143,IMAP,Internet Message Access Protocol
313,6,143,IMAP,Internet Message Access Protocol
314,17,993,IMAPS,Internet Message Access Protocol Secure
315,6,993,IMAPS,Internet Message Access Protocol Secure
316,6,88,Kerberos,Kerberos
317,17,88,Kerberos,Kerberos
318,6,389,LDAP,Lightweight Directory Access Protocol
319,17,389,LDAP,Lightweight Directory Access Protocol
320,6,5355,LLMNR,LLMNR
321,17,5355,LLMNR,LLMNR
322,6,5353,MDNS,Multicast DNS
323,17,5353,MDNS,Multicast DNS
324,6,137,NetBIOS,NETBIOS Name Service
325,17,137,NetBIOS,NETBIOS Name Service
326,6,138,NetBIOS,NETBIOS Datagram Service
327,17,138,NetBIOS,NETBIOS Datagram Service
328,6,123,NTP,Network Time Protocol
329,17,123,NTP,Network Time Protocol
330,6,8899,OSPF,Open Shortest Path First
331,17,8899,OSPF,Open Shortest Path First
332,6,110,POP3,Post Office Protocol - Version 3
333,17,110,POP3,Post Office Protocol - Version 3
334,6,1812,Radius,Radius
335,17,1812,Radius,Radius
336,6,1813,Radius,Radius
337,17,1813,Radius,Radius
338,17,5060,SIP,SIP
339,6,5060,SIP,SIP
340,6,25,SMTP,Simple Mail Transfer
341,17,25,SMTP,Simple Mail Transfer
342,6,161,SNMP,Simple Network Management Protocol
343,17,161,SNMP,Simple Network Management Protocol
344,6,162,SNMP,Simple Network Management Protocol
345,17,162,SNMP,Simple Network Management Protocol
346,17,1900,SSDP,SSDP
347,6,22,SSH,The Secure Shell
348,17,514,Syslog,Syslog - used for system logging
349,6,23,Telnet,Telnet
350,17,69,TFTP,Trivial File Transfer Protocol
351,6,5413,Wonderwave,Suitelink DA
352,17,5413,Wonderwave,Suitelink DA
353,6,5938,TeamViewer,TeamViewer
354,17,5938,TeamViewer,TeamViewer
355,6,2967,Symantec AntiVirus Corporate Edition,Symantec AntiVirus Corporate Edition
356,6,2638,Symantec Endpoint Protection Manager,Symantec Endpoint Protection Manager
357,6,8014,Symantec Endpoint Protection,Symantec Endpoint Protection
358,6,102,S7,S7
359,6,2222,CSP2,CSP2
360,17,2222,CSP2,CSP2
361,6,2223,CSP2,CSP2
362,17,2223,CSP2,CSP2
363,6,5900,VNC,VNC
364,17,4666,eDonkey,eDonkey
365,17,5737,eDonkey,eDonkey
366,17,4666,eDonkey,eDonkey
367,6,4661,eDonkey,eDonkey
368,6,4662,eDonkey,eDonkey
369,6,4663,eDonkey,eDonkey
370,17,9999,eDonkey,eDonkey
371,6,9999,eDonkey,eDonkey
